id,text_type,text,label,difficulty,scam_category,template_cluster,strong_signals,weak_signals,label_reason
SS0001,job_posting,"Cybersecurity Intern | BrightRoute Energy

BrightRoute Energy is adding a Cybersecurity Intern to support a growing workload in Manchester. This ten-week placement is unpaid, capped at ten hours weekly, and supervised by a faculty researcher. Course credit depends on university approval.

What you will do
- Keep accurate records and communicate progress.
- Coordinate assigned tasks with the team lead.
- Raise issues early and follow documented procedures.

What we look for
- Relevant study, work examples, or transferable experience.
- Reliable availability and clear written communication.

Terms
Expected compensation is GBP 24,000–29,000 annually. The arrangement is mostly remote around Manchester, with a preferred start near 2 September.

Additional context
- The expected schedule is four weekdays, with timing confirmed during the next conversation.
- The stated compensation is GBP 24,000–29,000 annually, depending on experience and final scope.
- The team is reviewing applicants from Manchester and several nearby cities.
- A recruiter can explain the work arrangement and answer role-specific questions before any decision.",Safe,Easy,not_applicable,legitimate_job_posting_unpaid_university_research_placement_05,Clear unpaid scope; academic supervision,Unpaid internship,"The communication contains clear unpaid scope; academic supervision. Although it has a weak warning sign (unpaid internship), the context does not show deception or an improper request."
SS0002,email,"Subject: Next step for your Machine Learning Intern application

Hello Maryam,

Thank you for your interest in the Machine Learning Intern opportunity associated with SilverOak University. The position is described as hybrid and based around Karachi. Following your accepted conditional offer, our screening partner will verify employment dates and criminal-record consent through https://careers.silveroak-university.example/machine-learning-intern/2.

The current compensation indication is PKR 90,000–120,000 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 17 August. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

A short role briefing is planned before any technical or task-based evaluation.

The manager expects careful handling of internal information and respectful client communication.

Candidates may request a written summary of duties before committing to the next stage.

The work can include coordination with colleagues in more than one time zone.

Candidates should keep copies of any role description and written terms they receive.

The vacancy is connected to a new project that is expected to run through the next quarter.

Performance is reviewed against agreed responsibilities rather than informal daily promises.

Best,
Nadia Hussain
SilverOak University",Safe,Medium,not_applicable,legitimate_email_official_background_screening_09,Post-offer background check; consent stated,Third-party screening vendor,"The communication contains post-offer background check; consent stated. Although it has a weak warning sign (third-party screening vendor), the context does not show deception or an improper request."
SS0003,job_posting,"Meadowline Clinics — Business Intelligence Analyst vacancy

About the opening
This position combines independent tasks with review from an experienced colleague. A small clinic manager is collecting CVs through a personal Outlook address while its website is updated. Interviews happen at the clinic.

Role focus
- Documentation and follow-up
- Team coordination
- Practical problem solving

Requirements
- Relevant examples or education
- Dependable communication
- Willingness to learn
- Questions about leave, probation, and working hours can be raised during the interview.
- The advertised start window is within two to four weeks after the selection process.
- Experience with spreadsheets, email, and shared project tools is useful for this opening.
- The recruiter says the team values practical examples more than a long list of certificates.",Safe,Hard,not_applicable,legitimate_job_posting_clinic_receptionist_personal_contact_16,In-person verification; ordinary CV request,Personal email; limited website,"The communication contains in-person verification; ordinary cv request. Although it has a weak warning sign (personal email; limited website), the context does not show deception or an improper request."
SS0004,email,"Ahmed,

The procurement assessment requires purchasing gift cards and emailing the numbers so the vendor ledger can be tested.

Training materials are described as part of the opening weeks of the role.

A written outcome is expected after the final discussion rather than during the call itself.

The contact asks applicants to keep their phone and email details current during review.

The team aims to finish the current hiring round by 13 August.

Kind regards,
Maya Thompson
Recruitment",Scam,Medium,other_recruitment_fraud,fraud_email_gift_card_vendor_validation_13,Improper benefit extracted through a deceptive recruitment task,Procurement terminology,"The recruitment framing is used to obtain gift-card value, reshipping help, production work, or another improper benefit."
SS0005,email,"Subject: Recruitment Coordinator — recruitment update

Dear Ali,

Thank you for your interest in the Recruitment Coordinator opportunity associated with Orchid Support Services. The position is described as onsite and based around Berlin. Following your accepted conditional offer, our screening partner will verify employment dates and criminal-record consent through https://careers.orchid-support-services.example/recruitment-coordinator/1.

The current compensation indication is EUR 32,000–38,000 annually. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 7 September. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

Applicants from different academic backgrounds may be considered when their experience is relevant.

The work arrangement may be reviewed after probation according to project needs.

Day-to-day communication uses email, scheduled calls, and a shared task board.

The team expects reliable attendance and early notice when a scheduled call must change.

Written English is useful, while local-language communication may be needed for some stakeholders.

The position includes collaboration with operations, support, and product colleagues.

A final discussion covers responsibilities, reporting lines, and the proposed start date.

Regards,
Ayesha Malik
Talent Team",Safe,Medium,not_applicable,legitimate_email_official_background_screening_09,Post-offer background check; consent stated,Third-party screening vendor,"The communication contains post-offer background check; consent stated. Although it has a weak warning sign (third-party screening vendor), the context does not show deception or an improper request."
SS0006,email,"Subject: Project Coordinator — recruitment update

Dear Abdullah,

Thank you for your interest in the Project Coordinator opportunity associated with Crescent Retail Labs. The position is described as onsite and based around Quetta. The role may relocate to Dubai after probation. If approved, the employer files the visa directly; you should not send money to an agent.

The current compensation indication is PKR 65,000–85,000 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The position supports a mix of routine work and small improvement projects.

Regards,
Ayesha Malik
Talent Team",Safe,Hard,not_applicable,legitimate_email_employer_funded_relocation_20,Employer-controlled visa process; clear contingency,Overseas relocation,"The communication contains employer-controlled visa process; clear contingency. Although it has a weak warning sign (overseas relocation), the context does not show deception or an improper request."
SS0007,message,"Assalam-o-Alaikum Noor. Grace Wilson here from ClearPeak Telecom. We will email a cheque for more than the laptop cost; deposit it, buy the equipment, and return the unused balance.",Scam,Medium,cheque_overpayment,fraud_message_cheque_for_home_office_07,Cheque overpayment followed by purchase or return-transfer instructions,Remote-work equipment context,"The applicant is asked to deposit an oversized cheque and spend or return part of it, a classic recruitment overpayment mechanism."
SS0008,job_posting,"BrightRoute Energy — Cybersecurity Intern vacancy

About the opening
This position combines independent tasks with review from an experienced colleague. Two-week event roles are filled quickly through short interviews. Staff sign a contract before shifts and receive payment within seven business days.

Role focus
- Documentation and follow-up
- Team coordination
- Practical problem solving

Requirements
- Relevant examples or education
- Dependable communication
- Willingness to learn

Terms
Expected compensation is PKR 90,000–120,000 per month. The arrangement is mostly remote around Rawalpindi, with a preferred start near 24 August.

Additional context
- Availability for a start near 24 August is preferred but can be discussed.
- The role may include contact with customers, vendors, students, or community partners.
- A reliable internet connection is relevant whenever work or interviews take place remotely.
- The organization describes the opening as mostly remote and based around Rawalpindi.
- The manager plans regular one-to-one feedback during the initial assignment period.
- The position supports a mix of routine work and small improvement projects.
- Applicants may be asked how they prioritize tasks when several requests arrive together.
- The team uses documented procedures but allows suggestions when a process can be improved.
- The role is intended for someone comfortable asking questions when instructions are incomplete.",Safe,Hard,not_applicable,legitimate_job_posting_seasonal_event_staff_20,Written contract; defined payment timeline,Very short engagement,"The communication contains written contract; defined payment timeline. Although it has a weak warning sign (very short engagement), the context does not show deception or an improper request."
SS0009,email,"Subject: QA Engineer — recruitment update

Dear Abdullah,

Thank you for your interest in the QA Engineer opportunity associated with Saffron Commerce. The position is described as office-based and based around Quetta. The technical exercise is available at https://careers.saffron-commerce.example/qa-engineer/1. It uses a fictional dataset, takes 60 minutes, and asks only for your written solution.

The current compensation indication is PKR 65,000–85,000 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 7 September. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

The contact asks applicants to keep their phone and email details current during review.

The team aims to finish the current hiring round by 7 September.

Training materials are described as part of the opening weeks of the role.

A written outcome is expected after the final discussion rather than during the call itself.

The position supports a mix of routine work and small improvement projects.

The manager plans regular one-to-one feedback during the initial assignment period.

Regards,
Noor Fatima
Talent Team",Safe,Easy,not_applicable,legitimate_email_official_assessment_portal_03,Role-relevant assessment; controlled data,none,"The communication follows a normal recruitment stage supported by role-relevant assessment; controlled data. It does not seek payment, credentials, or inappropriate account access."
SS0010,message,"Assalam-o-Alaikum Usman. Bilal Ahmed here from GreenThread Foundation. We are discussing the Product Support Intern opening, a mostly remote position connected to Dubai. Your profile was auto-approved without an interview. Reply ACCEPT and we will issue a permanent employee number today. You can ask any practical questions before proceeding. The current compensation indication is AED 8,000–10,000 per month, subject to the written terms and final scope. Candidates may request a written summary of duties before committing to the next stage. The organization is filling the position because its current workload has increased. Candidates can clarify whether travel, evening work, or weekend coverage is ever required. Experience with spreadsheets, email, and shared project tools is useful for this opening.",Scam,Easy,fake_offer,fraud_message_no_interview_employment_letter_06,Offer or onboarding without a genuine interview or verifiable employer,Fast decision,The sender skips any credible selection process or conceals the employer while issuing an offer or onboarding instruction.
SS0011,message,"Noor, quick recruitment update from Atlas Civic Partners: We are discussing the Procurement Coordinator opening, a mostly remote position connected to Peshawar. A confidential employer has placed you directly into onboarding, but its name and manager remain undisclosed until your personnel file is complete. Please confirm whether you would like to continue. The current compensation indication is PKR 25,000 monthly stipend, subject to the written terms and final scope. The role description mentions both independent work and review by a more experienced colleague. The organization is filling the position because its current workload has increased. Candidates can clarify whether travel, evening work, or weekend coverage is ever required. The team aims to finish the current hiring round by 11 August. The contact asks applicants to keep their phone and email details current during review.",Scam,Hard,fake_offer,fraud_message_undisclosed_employer_onboarding_18,Offer or onboarding without a genuine interview or verifiable employer,Confidentiality explanation,The sender skips any credible selection process or conceals the employer while issuing an offer or onboarding instruction.
SS0012,email,"Re: Sales Development Representative opportunity in Karachi

Hi Fatima,

Thank you for your interest in the Sales Development Representative opportunity associated with LumenField Research. The position is described as mostly remote and based around Karachi. Please report to reception at 4:30 PM PKT on 2 September with the signed offer and original ID for visual verification. Copies are not needed by email.

The current compensation indication is PKR 25,000 monthly stipend. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 2 September. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

Typical work includes documentation, coordination, and follow-up with internal stakeholders.

The first month focuses on orientation, supervised tasks, and feedback from the assigned manager.

Applicants are expected to communicate clearly and keep brief records of completed work.

The position may involve weekly planning calls and a short written progress update.

Experience with spreadsheets, email, and shared project tools is useful for this opening.

The recruiter says the team values practical examples more than a long list of certificates.

Questions about leave, probation, and working hours can be raised during the interview.

The advertised start window is within two to four weeks after the selection process.

Thank you,
Grace Wilson",Safe,Medium,not_applicable,legitimate_email_first_day_joining_instructions_12,Appropriate first-day verification; no email document transfer,Identity document request,"The communication contains appropriate first-day verification; no email document transfer. Although it has a weak warning sign (identity document request), the context does not show deception or an improper request."
