id,text_type,text,label,difficulty,scam_category,template_cluster,strong_signals,weak_signals,label_reason
SS0211,job_posting,"Now hiring: Warehouse Planning Officer

Location: Faisalabad
Arrangement: onsite

We are seeking a Warehouse Planning Officer to join a small delivery team. Walk-in interviews are held at the warehouse gate on 20 August. Bring a CV and original ID for security entry; no copies are collected at reception.

Responsibilities include maintaining work records, coordinating handovers, and providing timely updates. Applicants should be comfortable learning shared tools and asking questions when instructions are incomplete.

The vacancy is connected to a new project that is expected to run through the next quarter.

Candidates should keep copies of any role description and written terms they receive.",Safe,Medium,not_applicable,legitimate_job_posting_warehouse_operations_walkin_10,Verifiable worksite; limited ID use,Walk-in hiring,"The communication contains verifiable worksite; limited id use. Although it has a weak warning sign (walk-in hiring), the context does not show deception or an improper request."
SS0476,job_posting,"Digital Marketing Coordinator
office-based · Faisalabad

About this position
Applications are open for a Digital Marketing Coordinator connected to the Faisalabad team. Direct onboarding is available for a confidential enterprise. Its legal name and manager contacts are released only after your personnel file is complete.

Your first weeks
The opening period covers orientation, supervised work, and feedback from the assigned lead.

Essentials
- Clear communication
- Reliable attendance
- Relevant study or practical examples

Terms
Expected compensation is PKR 65,000–85,000 per month. The arrangement is office-based around Faisalabad, with a preferred start near 14 September.

Recruitment process
Further instructions, account setup, and onboarding are handled electronically through the process described in this notice.

Additional context
- The work can include coordination with colleagues in more than one time zone.
- Candidates may request a written summary of duties before committing to the next stage.
- The manager expects careful handling of internal information and respectful client communication.
- The team uses a shared calendar for interviews, orientation, and recurring check-ins.
- Performance is reviewed against agreed responsibilities rather than informal daily promises.
- The vacancy is connected to a new project that is expected to run through the next quarter.
- Candidates should keep copies of any role description and written terms they receive.
- Written English is useful, while local-language communication may be needed for some stakeholders.
- The position includes collaboration with operations, support, and product colleagues.
- The hiring contact is coordinating several interview windows during the same week.
- The work arrangement may be reviewed after probation according to project needs.
- Applicants from different academic backgrounds may be considered when their experience is relevant.
- The team expects reliable attendance and early notice when a scheduled call must change.
- Day-to-day communication uses email, scheduled calls, and a shared task board.
- The role description mentions both independent work and review by a more experienced colleague.
- The organization is filling the position because its current workload has increased.
- Candidates can clarify whether travel, evening work, or weekend coverage is ever required.
- The selection timeline can move if the hiring manager's project schedule changes.
- Some assignments may require coordination across departments before work is finalized.",Scam,Hard,fake_offer,fraud_job_posting_undisclosed_enterprise_hiring_pool_18,Offer or onboarding without a genuine interview or verifiable employer,Confidential enterprise claim,The sender skips any credible selection process or conceals the employer while issuing an offer or onboarding instruction.
SS0259,message,"Usman, quick recruitment update from GreenThread Foundation: We are discussing the Product Support Intern opening, a flexible hybrid position connected to Karachi. Payroll setup uses https://login-greenthread-foundation.careers-verification.example/candidate/15-4. Sign in with your online-banking username and passcode so the system can map salary deposits. Please confirm whether you would like to continue. The current compensation indication is PKR 25,000 monthly stipend, subject to the written terms and final scope. Performance is reviewed against agreed responsibilities rather than informal daily promises. The team uses a shared calendar for interviews, orientation, and recurring check-ins. Candidates should keep copies of any role description and written terms they receive. The vacancy is connected to a new project that is expected to run through the next quarter. Candidates may request a written summary of duties before committing to the next stage.",Scam,Hard,credential_theft,fraud_message_bank_login_payroll_sync_15,"Password, OTP, banking credential, or account-access request",Polished payroll explanation,"The communication asks for passwords, OTPs, banking credentials, or direct account access that legitimate recruiters do not need."
SS0526,message,"Good afternoon. I’m Nadia Hussain, contacting you for Maple & Byte Studio. Your public portfolio looks relevant to our Data Annotation Specialist opening. Would you be open to a short introductory call? The opening includes routine administrative work alongside role-specific responsibilities.",Safe,Easy,not_applicable,legitimate_message_linkedin_recruiter_outreach_04,Role-relevant outreach; normal introductory call,none,"The communication follows a normal recruitment stage supported by role-relevant outreach; normal introductory call. It does not seek payment, credentials, or inappropriate account access."
SS0596,job_posting,"Recruitment Coordinator | Orchid Support Services

Orchid Support Services is adding a Recruitment Coordinator to support a growing workload in Riyadh. Applicants send a CV and cover letter to the project office. Travel is reimbursed against receipts after approved field visits.

What you will do
- Keep accurate records and communicate progress.
- Coordinate assigned tasks with the team lead.
- Raise issues early and follow documented procedures.

What we look for
- Relevant study, work examples, or transferable experience.
- Reliable availability and clear written communication.

Terms
Expected compensation is SAR 6,000–8,000 per month. The arrangement is onsite around Riyadh, with a preferred start near 14 September.

Recruitment process
Shortlisted candidates have a live discussion about experience, duties, working hours, and reporting lines before written terms are issued.

Additional context
- The team uses a shared calendar for interviews, orientation, and recurring check-ins.
- Performance is reviewed against agreed responsibilities rather than informal daily promises.
- Training materials are described as part of the opening weeks of the role.
- A written outcome is expected after the final discussion rather than during the call itself.
- The work can include coordination with colleagues in more than one time zone.
- Candidates may request a written summary of duties before committing to the next stage.
- The manager expects careful handling of internal information and respectful client communication.
- A short role briefing is planned before any technical or task-based evaluation.
- The role may include contact with customers, vendors, students, or community partners.
- Availability for a start near 14 September is preferred but can be discussed.
- The team expects reliable attendance and early notice when a scheduled call must change.",Safe,Easy,not_applicable,legitimate_job_posting_ngo_field_monitor_vacancy_06,Normal NGO recruitment; expense policy stated,Short grant-funded role,"The communication contains normal ngo recruitment; expense policy stated. Although it has a weak warning sign (short grant-funded role), the context does not show deception or an improper request."
SS0096,email,"Subject: HarborDesk Solutions hiring process and availability

Good day Maha,

The hiring manager has been called into a client meeting, so we need to move your interview to 13 August. Please confirm the revised time.

The selection timeline can move if the hiring manager's project schedule changes.

Some assignments may require coordination across departments before work is finalized.

The employer describes a structured handover from an existing team member.

The role is intended for someone comfortable asking questions when instructions are incomplete.

Sincerely,
Lucas Meyer",Safe,Medium,not_applicable,legitimate_email_recruiter_calendar_change_07,Plausible reschedule; no change to application terms,Schedule change,"The communication contains plausible reschedule; no change to application terms. Although it has a weak warning sign (schedule change), the context does not show deception or an improper request."
SS0190,job_posting,"Field Project Officer | UrbanNest Services

UrbanNest Services is adding a Field Project Officer to support a growing workload in Chicago. Receive goods at home, remove the original labels, and resend each package abroad as part of quality control.

What you will do
- Keep accurate records and communicate progress.
- Coordinate assigned tasks with the team lead.
- Raise issues early and follow documented procedures.

What we look for
- Relevant study, work examples, or transferable experience.
- Reliable availability and clear written communication.

Terms
Expected compensation is USD 900–1,200 per month. The arrangement is remote around Chicago, with a preferred start near 20 August.

Additional context
- The vacancy is connected to a new project that is expected to run through the next quarter.
- Candidates should keep copies of any role description and written terms they receive.
- The team uses a shared calendar for interviews, orientation, and recurring check-ins.
- Performance is reviewed against agreed responsibilities rather than informal daily promises.",Scam,Medium,other_recruitment_fraud,fraud_job_posting_reshipping_quality_coordinator_14,Improper benefit extracted through a deceptive recruitment task,Home-based logistics,"The recruitment framing is used to obtain gift-card value, reshipping help, production work, or another improper benefit."
SS0195,job_posting,"Now hiring: Field Project Officer

Location: Riyadh
Arrangement: office-based

We are seeking a Field Project Officer to join a small delivery team. Applications are accepted at https://careers.urbannest-services.example/field-project-officer/2. Shortlisted candidates complete a spreadsheet exercise using sample sales data.

Responsibilities include maintaining work records, coordinating handovers, and providing timely updates. Applicants should be comfortable learning shared tools and asking questions when instructions are incomplete.

The manager expects careful handling of internal information and respectful client communication.

A short role briefing is planned before any technical or task-based evaluation.

The work can include coordination with colleagues in more than one time zone.",Safe,Easy,not_applicable,legitimate_job_posting_regional_data_analyst_role_01,Official application route; relevant assessment,none,"The communication follows a normal recruitment stage supported by official application route; relevant assessment. It does not seek payment, credentials, or inappropriate account access."
SS0041,email,"Candidate update | Orchid Support Services

Ali,

The board has approved your appointment as Recruitment Coordinator with Orchid Support Services for a remote position connected to Lahore. No interview or further application stage is required.

The proposed compensation is PKR 90,000–120,000 per month. Please sign the attached appointment letter and return only the signature page so HR can activate your employee record.

Once the signed page is received, the onboarding team will send your reporting details, start date, and orientation instructions. Training materials will be provided during the opening week.

Kind regards,
Imran Baig
Recruitment",Scam,Easy,fake_offer,fraud_email_executive_offer_without_process_06,Offer or onboarding without a genuine interview or verifiable employer,Formal executive language,The sender skips any credible selection process or conceals the employer while issuing an offer or onboarding instruction.
SS0095,email,"Subject: Digital Marketing Coordinator — recruitment update

Dear Zoya,

Thank you for your interest in the Digital Marketing Coordinator opportunity associated with Stonepath Manufacturing. The position is described as remote and based around London. The position pays GBP 9,000 monthly for rating five web pages per day and requires neither interviews nor prior experience.

Please review the compensation described above and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 7 September. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

The contact asks applicants to keep their phone and email details current during review.

The team aims to finish the current hiring round by 7 September.

Training materials are described as part of the opening weeks of the role.

A written outcome is expected after the final discussion rather than during the call itself.

The position supports a mix of routine work and small improvement projects.

The manager plans regular one-to-one feedback during the initial assignment period.

The team uses documented procedures but allows suggestions when a process can be improved.

Regards,
Imran Baig
Talent Team",Scam,Medium,unrealistic_compensation,fraud_email_premium_for_simple_reviews_09,Implausible pay combined with absent or meaningless selection,Part-time remote framing,The advertised pay is implausible for the work and is paired with no meaningful screening or responsibilities.
